# Source,Target

# Nuvieknot => Codeberg: SweetnHouse
knot.nuv.sh:strawmelonjuice.com/sweetnhouse,codeberg.org:strawmelonjuice/SweetnHouse-mirror

# Lumina is already mirrored through Forgejo-builtin-mirroring on the strawmelonjuice.
# Defined here:
# My Knot => My Forge
# My Forge => Codeberg
# Codeberg => Nuvieknot
knot.strawmelonjuice.com:strawmelonjuice.com/Lumina,forge.strawmelonjuice.com:strawmelonjuice/Lumina-mirror.git
forge.strawmelonjuice.com:strawmelonjuice/Lumina-mirror.git,codeberg.org:strawmelonjuice/Lumina-mirror.git
codeberg.org:strawmelonjuice/Lumina-mirror.git,knot.nuv.sh:strawmelonjuice.com/Lumina-mirror

# Strawmelonforge => Codeberg: Strawmediajuice
forge.strawmelonjuice.com:strawmelonjuice/strawmediajuice.git,codeberg.org:strawmelonjuice/strawmediajuice.git

# Strawmelonservices (this repo.)
# Strawmelonforge => Codeberg 
#                 => GitHub 
forge.strawmelonjuice.com:strawmelonjuice/docker.git,codeberg.org:strawmelonjuice/docker.git
forge.strawmelonjuice.com:strawmelonjuice/docker.git,github.com:strawmelonjuice/docker.git

## From my personal forge to Codeberg: dotfiles and nixfiles
# Nixfiles
# Strawmelonforge => Codeberg 
#                 => GitHub 
forge.strawmelonjuice.com:strawmelonjuice/nix.git,codeberg.org:strawmelonjuice/nix.git
forge.strawmelonjuice.com:strawmelonjuice/nix.git,github.com:strawmelonjuice/nix.git

